자치구,행정동,성별,연령대,총인구,1인가구,사회성,평일이동,휴일이동,기타이동,적은이동,많은이동,영상,생활,재정,"이동-
사회성"
강남구,도곡1동,1,60,606,93,10,11,8,10,0,6,10,15,9,0
강남구,도곡1동,1,65,438,86,3,2,12,2,0,2,1,4,15,0
강남구,도곡1동,1,70,242,45,5,4,2,1,0,1,3,1,2,0
강남구,도곡1동,1,75,184,51,2,2,7,0,0,1,2,1,6,1
강남구,도곡1동,1,80,86,24,1,1,1,1,0,0,1,1,1,0
강남구,도곡1동,1,85,36,9,0,1,0,0,0,0,0,0,1,2
강남구,도곡1동,1,90,6,2,0,0,0,0,0,0,0,0,0,1
강남구,도곡1동,2,20,713,240,12,20,6,18,0,20,14,14,8,0
강남구,도곡1동,2,25,942,277,15,8,20,11,0,33,9,24,13,0
강남구,도곡1동,2,30,944,145,8,14,7,17,0,28,9,14,10,0
강남구,도곡1동,2,35,857,110,10,12,6,17,0,21,9,9,5,0
강남구,도곡1동,2,40,896,66,10,10,8,18,0,11,10,7,7,0
강남구,도곡1동,2,45,992,64,3,15,5,24,0,9,5,6,2,0
강남구,도곡1동,2,50,958,67,7,11,8,15,0,4,12,3,10,0
강남구,도곡1동,2,55,853,46,6,6,6,9,0,3,4,3,4,0
강남구,도곡1동,2,60,624,85,8,23,6,32,0,4,15,9,8,0
강남구,도곡1동,2,65,401,84,4,7,6,9,0,1,9,5,12,0
강남구,도곡1동,2,70,328,70,3,9,0,7,0,1,7,5,2,0
강남구,도곡1동,2,75,183,51,0,3,2,3,0,1,1,2,2,3
강남구,도곡1동,2,80,107,37,2,4,1,3,0,0,3,2,3,4
강남구,도곡1동,2,85,54,17,2,1,0,2,0,0,0,1,1,6
강남구,도곡1동,2,90,16,5,2,0,0,0,0,0,1,0,0,2
강남구,도곡2동,1,20,840,271,23,22,8,21,0,20,15,23,11,0
강남구,도곡2동,1,25,806,254,18,14,17,13,0,21,21,36,15,0
강남구,도곡2동,1,30,883,184,14,12,16,18,0,35,10,23,11,0
강남구,도곡2동,1,35,910,185,23,8,18,9,0,42,18,14,12,0
강남구,도곡2동,1,40,"1,327",207,38,17,33,12,0,38,23,22,43,0
강남구,도곡2동,1,45,"1,705",263,40,24,32,17,0,45,34,27,31,0
강남구,도곡2동,1,50,"1,473",215,42,15,24,10,0,18,30,14,58,0
강남구,도곡2동,1,55,"1,126",166,26,9,13,11,0,12,19,16,20,0
강남구,도곡2동,1,60,886,128,13,16,10,12,0,8,13,23,9,0
강남구,도곡2동,1,65,714,137,12,5,23,2,0,4,6,7,18,0
강남구,도곡2동,1,70,401,61,6,4,2,3,0,1,4,2,4,0
강남구,도곡2동,1,75,291,67,2,4,8,3,0,1,3,1,10,1
강남구,도곡2동,1,80,175,43,2,2,3,2,0,1,3,0,4,1
강남구,도곡2동,1,85,67,18,1,0,0,1,0,0,1,0,1,3
강남구,도곡2동,1,90,18,5,0,0,0,0,0,0,0,0,1,1
강남구,도곡2동,2,20,"1,034",381,18,21,10,14,0,31,12,20,11,0
강남구,도곡2동,2,25,966,344,19,14,21,16,0,33,14,40,13,0
강남구,도곡2동,2,30,"1,159",186,11,21,7,25,0,36,15,19,10,0
강남구,도곡2동,2,35,"1,187",140,18,16,5,22,0,24,17,16,3,0
강남구,도곡2동,2,40,"1,709",118,18,22,13,29,0,19,13,17,7,0
강남구,도곡2동,2,45,"1,891",118,17,33,11,39,0,15,19,17,10,0
강남구,도곡2동,2,50,"1,434",84,13,13,8,14,0,6,13,5,16,0
강남구,도곡2동,2,55,"1,132",71,18,8,5,9,0,4,18,10,8,0
강남구,도곡2동,2,60,954,129,9,34,10,37,0,5,21,15,7,0
강남구,도곡2동,2,65,673,139,5,12,8,10,0,2,11,10,13,0
강남구,도곡2동,2,70,459,96,5,14,0,10,0,1,13,6,6,0
강남구,도곡2동,2,75,289,93,0,7,6,4,1,1,3,3,11,0
강남구,도곡2동,2,80,138,38,1,3,1,2,0,0,3,1,3,0
강남구,도곡2동,2,85,69,20,1,1,0,1,0,0,1,0,0,6
강남구,도곡2동,2,90,25,9,1,0,0,1,0,0,1,0,1,2
강남구,삼성1동,1,20,541,190,18,12,12,15,0,15,20,8,11,0
강남구,삼성1동,1,25,480,146,16,6,12,6,0,18,14,18,12,0
강남구,삼성1동,1,30,587,129,12,12,12,13,0,28,13,15,11,0
강남구,삼성1동,1,35,534,116,18,4,11,4,0,27,13,7,9,0
강남구,삼성1동,1,40,514,74,15,7,14,8,0,14,13,10,14,0
강남구,삼성1동,1,45,575,86,18,8,10,8,0,15,16,12,10,0
강남구,삼성1동,1,50,627,90,20,9,7,6,0,7,14,9,23,0
강남구,삼성1동,1,55,517,77,16,3,4,3,0,6,15,8,9,0
강남구,삼성1동,1,60,395,56,8,6,5,5,0,3,8,11,3,0
강남구,삼성1동,1,65,341,60,7,2,11,2,0,1,2,5,10,0
강남구,삼성1동,1,70,263,44,3,3,2,1,0,1,1,0,3,0
강남구,삼성1동,1,75,196,51,1,2,8,1,0,1,2,1,6,0
강남구,삼성1동,1,80,114,29,2,1,3,2,1,0,1,1,3,4
강남구,삼성1동,1,85,37,10,1,0,1,0,0,0,0,0,0,0
강남구,삼성1동,1,90,8,1,0,0,0,0,0,0,0,0,0,0
강남구,삼성1동,2,20,416,147,10,8,4,6,0,11,8,16,8,0
강남구,삼성1동,2,25,513,155,15,4,12,4,0,20,9,15,10,0
강남구,삼성1동,2,30,651,100,8,7,10,8,0,21,5,10,5,0
강남구,삼성1동,2,35,539,70,5,6,6,5,0,14,7,6,3,0
강남구,삼성1동,2,40,616,57,13,7,6,13,0,10,15,16,5,0
강남구,삼성1동,2,45,721,52,9,8,4,14,0,8,12,11,1,0
강남구,삼성1동,2,50,635,42,9,7,7,5,0,2,9,5,5,0
강남구,삼성1동,2,55,590,37,3,3,6,3,0,2,4,3,3,0
강남구,삼성1동,2,60,462,64,7,15,6,18,0,3,9,9,8,0
강남구,삼성1동,2,65,399,84,5,10,7,8,0,1,5,7,7,0
강남구,삼성1동,2,70,274,62,5,7,1,12,0,1,11,4,4,0
강남구,삼성1동,2,75,193,61,1,5,7,8,0,1,4,2,5,4
강남구,삼성1동,2,80,100,27,1,2,0,3,1,0,2,1,3,2
강남구,삼성1동,2,85,35,11,1,1,1,1,0,0,0,1,0,2
강남구,삼성1동,2,90,13,5,0,1,0,1,0,0,1,0,0,0
강남구,삼성2동,1,20,792,230,16,22,6,24,0,18,24,15,9,0
강남구,삼성2동,1,25,859,226,24,11,23,18,0,32,29,25,27,0
강남구,삼성2동,1,30,"1,230",236,22,15,29,17,0,50,26,22,26,0
강남구,삼성2동,1,35,"1,330",301,35,11,31,11,0,64,22,19,26,0
강남구,삼성2동,1,40,"1,459",214,44,10,35,14,0,42,30,37,38,0
강남구,삼성2동,1,45,"1,406",201,33,20,26,18,0,35,30,29,26,0
강남구,삼성2동,1,50,"1,003",148,37,11,16,10,0,11,29,19,42,0
강남구,삼성2동,1,55,759,107,16,6,14,5,0,7,15,15,15,0
강남구,삼성2동,1,60,551,80,16,11,13,9,0,5,17,15,9,0
강남구,삼성2동,1,65,460,86,9,3,17,3,0,2,2,10,16,0
강남구,삼성2동,1,70,275,50,8,5,2,5,0,1,5,3,3,0
강남구,삼성2동,1,75,230,64,3,3,7,3,0,1,5,2,8,5
강남구,삼성2동,1,80,177,47,3,3,3,2,0,0,2,1,2,4
강남구,삼성2동,1,85,42,13,0,0,0,1,0,0,2,0,1,1
강남구,삼성2동,1,90,4,2,0,0,0,0,0,0,0,0,0,0
강남구,삼성2동,2,20,767,247,17,12,8,20,0,21,13,9,10,0
강남구,삼성2동,2,25,"1,247",302,23,15,27,18,0,40,19,38,17,0
강남구,삼성2동,2,30,"1,740",276,25,8,30,9,0,61,12,32,19,0
강남구,삼성2동,2,35,"1,688",258,26,10,19,13,0,53,23,37,18,0
강남구,삼성2동,2,40,"1,712",159,21,18,23,34,0,28,26,31,22,0
강남구,삼성2동,2,45,"1,395",107,15,19,16,27,0,17,17,25,7,0
강남구,삼성2동,2,50,951,68,12,8,9,9,0,4,9,7,11,0
